Name,Born,Died,Nationality,Institutions,Alma mater,Notable awards,Fields,Total Count,Recursion,Score,Nobel Laureate
Fred Basolo,1920,2007,United States,Northwestern University,University of Illinois,Williard Gibbs Award_Priestly Medal_George Pimentel Award in Chemical Education,Chemistry,5923,66089,48039.2,No
Ronnie Bell,1907,1996,United Kingdom,University of Oxford_University of Stirling,University of Oxford,Fellow of Royal Society,NONE,143,1238,909.5,No
Johannes Martin Bijvoet,1892,1980,Netherlands,Utrecht Univeristy,NONE,NONE,NONE,109,1193,867.8,No
Octave Leopold Boudouard,1872,1923,France,Conservatoire National des Arts et Metiers,Conservatoire National des Arts et Metiers,NONE,NONE,15,30,25.5,No
Paul D. Boyer,1918,NA,United States,University of California Los Angeles,Brigham Young University_University of Wisconsin Madison,Tolman Award_Nobel Prize in Chemistry,NONE,4857,76123,54743.2,Yes
Herbert C. Brown,1912,2004,United States,University of Chicago_Purdue University,University of Chicago,Elliott Cresson Medal_National Medal of Science_Nobel Prize for Chemistry_Priestley Medal_Perkin Medal_AIC Gold Medal,NONE,4848,38626,28492.6,Yes
Adolf Butenandt,1903,1995,Germany,Technical University of Danzig_Kaiser Wihem Institute for Biochemistry_University of Tubingen_University of Munich,University of Marburg_University of Gottingen,Nobel Prize in Chemistry,NONE,1865,21778,15804.1,Yes
Yves Chauvin,1930,2015,France,French Institute of Petroleum,Lyon School of Chemistry_Physics_and Electronics,Nobel Prize in Chemistry,NONE,4371,211043,149041.4,Yes
Ernst Cohen,1869,1944,Netherlands,University of Utrecht,NONE,Fellow of the Royal Society,NONE,2237,22982,16758.5,No
Robert Corey,1897,1971,United States,NONE,University of Pittsburgh_Cornell University,NONE,NONE,5819,163821,116420.4,No
Carl Ferdinand Cori,1896,1984,Austria Hungary,Washington University in St. Louis,Charles University in Prague,Nobel Prize in Physiology or Medicine_Willard Gibbs Award_Albert Lasker Award for Basic Medical Research,NONE,127,798,596.7,Yes
Charles D. Coryell,1912,1971,United States,Oak Ridge National Laboratory_University of Chicago,California Institute of Technology,NONE,Nuclear chemistry,2027,45119,32191.4,No
John Cornforth,1917,2013,Australia,University of Oxford_University of Warwick_University of Sussex,University of Sydney_University of Oxford,Davy Medal_Fellow of Royal Society,Organic chemistry,453,11405,8119.4,Yes
Frank Albert Cotton,1930,2007,United States,Texas A&M University,Harvard University_Temple University,National Medal of Science_Priestley Medal_Wolf Prize,Chemistry,23533,76352,60506.3,No
Charles Coulson,1910,1974,United Kingdom,University of Oxford_Kings College London,University of Cambridge,Davy Medal,Mathematics_Chemistry_Physics,5111,123442,87942.7,No
Donald J. Cram,1919,2001,United States,UCLA_MIT,Rollins College_University of Nebraska_Harvard University,Guggenheim Fellowship_National Medal of Science,Chemistry,6273,91495,65928.4,Yes
Marie Curie,1867,1934,Poland,University of Paris,University of Paris_ESPCI,Davy Medal,Chemistry_Physics,1452,12856,9434.8,Yes
Pierre Curie,1859,1906,France,NONE,Sorbonne,Davy Medal,Chemistry_Physics,2256,37710,27073.8,Yes
Carl Peter Henrik Dam,1895,1976,Denmark,University of Rochester,University of Graz,NONE,Chemistry_Biology,986,5788,4347.4,Yes
Raymond Davis Jr.,1914,2006,United States,University of Pennsylvania,University of Maryland_Yale University,Comstock Prize in Physics_Tom W.Bonner Prize_Wolf Prize_National Medal of Science,Chemistry_Physics,6652,125096,89562.8,Yes
Davorin Dolar,1921,2005,Slovenia,University of Ljubljana,University of Ljubljana,Zois Award,Chemistry,164,2731,1960.9,No
David Adriaan van Dorp,1915,1995,Netherlands,Oss,University of Amsterdam,NONE,Chemistry,58,1162,830.8,No
Enrico Fermi,1901,1954,United States,University of Chicago_Columbia University_Sapienza University of Rome_University of Florence_Leiden University_University of Gottingen,Scuola Normale Superiore,Matteucci Medal,Physics,9326,158267,113584.7,Yes
Franz Joseph Emil Fischer,1877,1947,Germany,Kaiser Wilhelm Institute for Coal Research,NONE,NONE,Chemistry,0,0,0,No
Ernst Otto Fischer,1918,2007,Germany,Technical University of Munich,Technical University of Munich,NONE,Chemistry,1782,33892,24259,Yes
Herman Frasch,1851,1914,Germany,Philadelphia College of Pharmacy,Philadelphia College of Pharmacy,Perkin Medal,Chemistry,160,939,705.3,No
Alexander Naumovich Frumkin,1895,1976,Russia,Moscow University,University of Bern,Lenin Prize_Stalin Prize_,Chemistry,0,0,0,No
Kenichi Fukui,1918,1998,Japan,Kyoto University,Kyoto University,Order of Culture,Chemistry,8583,140755,101103.4,Yes
Henry Gilman,1893,1986,United States,Iowa State University,Harvard University,Fellow of Royal Society,Organic chemistry,2561,27159,19779.6,Yes
Otto Hahn,1879,1968,Germany,Max Planck Society,University of Marburg,Emil Fischer Medal_Cannizzaro Prize_Copernicus Prize,Nuclear chemistry,1000,17798,12758.6,Yes
John Scott Haldane,1860,1936,United Kingdom,University of Oxford_University of Birmingham,Edinburgh University,NONE,Physiology,1478,24245,17414.9,No
Charles Martin Hall,1863,1914,United States,University of Tokyo_Oberlin College,Yale University_University of Gottingen,Perkin Medal,Chemistry,0,0,0,No
George S. Hammond,1921,2005,United States,Iowa State University_California Institute of Technology_University of California Santa Cruz,Bates College_Harvard University,Norris Award_Priestley Medal_National Medal of Science_Othmer Gold Medal,Chemistry,4943,37164,27497.7,No
Gerhard Herzberg,1904,1999,Germany_Canada,Carleton University_University of Saskatchewan,Darmstadt University of Technology,Henry Marshall Tory Medal_Royal Medal,Chemistry,51435,265463,201254.6,Yes
Heinrich Hubert Maria Josef Houben,1875,1940,Germany,University of Berlin_University of Bonn,University of Bonn,NONE,Organic chemistry,40,433,315.1,No
Robert Huber,1937,NA,Germany,Max Planck Institute for Biochemistry,Technical University of Munich,NONE,Biochemistry,12013,187201,134644.6,Yes
Paul Janssen,1926,2003,Belgium,Janssen Pharmaceutica,University of Ghent_Catholic University of Leuven,Scheele Award ,Physiology,8993,67971,50277.6,No
Jerome Karle,1918,2013,United States,U.S. Naval Research Laboratory,University of Michigan_Harvard University_City College of New York,NONE,Physical chemistry,1508,38242,27221.8,Yes
Paul Karrer,1889,1971,Switzerland,Universitat Zurich,Universitat Zurich,Marcel Benoist Prize,Chemistry,588,10256,7355.6,Yes
Trevor Kletz,1922,2013,United Kingdom,Olefines,University of Liverpool,NONE,Chemistry,2040,73078,51766.6,No
Aaron Klug,1926,NA,United Kingdom,University of Cambridge_University of London_Laboratory of Molecular Biology,University of Cambridge,Louisa Gross Horwitz Prize,Biophysics_Chemistry,8273,90380,65747.9,Yes
William Standish Knowles,1917,2012,United States,Monsanto Company,Harvard University_Columbia University,NONE,Chemistry,3600,49865,35985.5,Yes
Walter Kohn,1923,NA,United States,University of California Santa Barbara_University of California San Diego,University of Toronto_Harvard University,Oliver E. Buckley Condensed Matter Prize_National Medal of Science,Physics,74969,507530,377761.7,Yes
Izaak Kolthoff,1894,1993,Netherlands,University of Minnesota,University of Utrecht,Willard Gibbs Award,Analytical chemistry,5382,137389,97786.9,No
Roger D. Kornberg,1947,NA,United States,Stanford University_Harvard Medical School,Harvard University_Stanford University,Ciba-Drew Award_Harvey Prize_Gairdner Foundation International Award_Louisa Gross Horwitz Prize,Structural biology,10611,124081,90040,Yes
Harold Kroto,1939,NA,United Kingdom,University of Sussex,University of Sheffiled,NONE,Chemistry,17117,202142,146634.5,Yes
Raymond Lemieux,1920,2000,Canada,University of Alberta_University of Ottawa_University of Saskatchewan_National Research Council,University of Alberta_McGill University_Ohio State University,Tishler Award_Albert Einstein World Award of Science_Wolf Prize,Chemistry,1687,34281,24502.8,No
Karl Paul Link,1901,1978,United States,University of Wisconsin Madison,University of Wisconsin Madison,NONE,Biochemistry,1720,22993,16611.1,No
Carolina Henriette Mac Gillavry,1904,1993,Netherlands,University of Amsterdam,University of Amsterdam,NONE,Chemistry,125,312,255.9,No
Jacob A. Marinsky,1918,2005,United States,University of Buffalo_Weizmann Institue of Science,University of Buffalo_MIT,NONE,Chemistry,853,23543,16736,No
Elmer McCollum,1879,1967,United States,Johns Hopkins University,University of Kansas_Yale University,Howard N. Potts Medal,Biochemistry,1237,38576,27374.3,No
Lise Meitner,1878,1968,Austria,Kaiser Wilhelm Institute_University of Berlin,University of Vienna,Lieben Prize_Max Planck Medal_Otto Hahn Prize for Chemistry and Physics_Enrico Fermi Award,Physics,3332,37679,27374.9,No
Huang Minglon,1898,1979,China,Chinese Academy of Sciences,Zhejiang University_University of Berlin,NONE,Chemistry,788,13646,9788.6,No
Peter D. Mitchell,1920,1992,United Kingdom,University of Cambridge,University of Cambridge_University of Edinburgh,NONE,Biochemistry,4362,32240,23876.6,Yes
William A. Mitchell,1911,2004,United States,General Foods Corporation,University of Nebraska,NONE,Food chemistry,2847,43814,31523.9,No
Henri Moissan,1852,1907,France,Sorbonne,Ecole Practique des Haute Etudes,Davy Medal_Elliott Cresson Medal,Chemistry,312,5667,4060.5,Yes
Robert Nalbandyan,1937,2002,Armenia,Yerevan University,Moscow State University,NONE,Chemistry,374,10902,7743.6,No
Costin Nenitescu,1902,1970,Romania,Polytechnic University of Bucharest,Polytechnic Institue in Zurich,NONE,Chemistry,141,11742,8261.7,No
Walther Nernst,1864,1941,Germany,University of Gottingen_University of Berlin_University of Leipzig,University of Zurich_University of Berlin_University of Graz_University of Wurzburg,Franklin Medal,Physics,2759,58413,41716.8,Yes
Julius Nieuwland,1878,1936,United States,University of Notre Dame,University of Notre Dame,Nichols Medal,Chemistry,236,9829,6951.1,No
Fred Olsen,1891,1986,United States,Olin Corporation_Western Catridge Company,Washington University in St.Louis,NONE,Chemistry,1880,19677,14337.9,No
Joan Or??,1923,2004,Spain,NASA,University of Barcelona,Oparin Medal,Biochemistry,390,2636,1962.2,No
Wilhelm Ostwald,1853,1932,Germany,University of Dorpat_Riga Polytechnicum_University of Leipzig,University of Dorpat,NONE,Physical chemistry,3449,52275,37627.2,Yes
Linus Pauling,1901,1994,United States,California Institue of Technology_University of California San Diego_Stanford University,Oregon State University_California Institute of Technology,Irving Langmuir Award_Davy Medal ,Biochemistry,117989,295441,242205.4,Yes
Charles J. Pedersen,1904,1989,United States,DuPont,University of Dayton_MIT,NONE,Organic chemistry,8406,66075,48774.3,Yes
William Henry Perkin_Jr.,1860,1929,United Kingdom,University of Oxford_Victoria University of Machester_Heriot-Watt College,Royal College of Science_University of Wurzburg_University of Munich,Davy Medal_Royal Medal,Organic chemistry,277,6897,4911,Yes
Roy J. Plunkett,1910,1994,United States,DuPont,Manchester University_Ohio State University,John Scott Medal,Organic chemistry,1034,19258,13790.8,No
John Charles Polanyi,1929,NA,Canada,University of Toronto,University of Manchester,Henry Marshall Tory Medal_Royal Medal,Chemistry,1251,19558,14065.9,Yes
John Pople,1925,2004,United States,Northwestern University,University of Cambridge,Mayhew Prize_Irving Langmuir Award_Davy Medal,Chemistry,85046,318248,248287.4,Yes
George Porter,1920,2002,United Kingdom,University of Cambridge,University of Cambridge,NONE,Chemistry,4942,44761,32815.3,Yes
Hillar Rootare,1928,2008,United States,University of Michigan,University of Michigan,NONE,Physical chemistry,499,16416,11640.9,No
Ernest Rutherford,1871,1937,New Zealand,McGill University_University of Manchester_University of Cambridge,University of Canterbury_University of Cambridge,Rumford Medal,Physics_Chemistry,3278,54784,39332.2,Yes
Koichi Tanaka,1959,NA,Japan,Shimadzu Corporation,Tohoku University,Keio Medical Science Prize,Chemistry,8578,43628,33113,Yes
Harold Warris Thompson,1908,1983,United Kingdom,University of Oxford,Friedrich Wilhelm University of Berlin,Fellow of Royal Society,Physical chemistry,30,1029,729.3,No
J. J. Thomson,1856,1940,United Kingdom,University of Cambridge,University of Manchester_University of Cambridge,Smiths Prize_Royal Medal_Hughes Medal,Physics,6326,108018,77510.4,Yes
Harold Clayton Urey,1893,1981,United States,University of Copenhagen_Johns Hopkins University_Columbia University_University of Chicago_University of California San Diego,Earlham College_University of Montana_University of California Berkeley,Willard Gibbs Award,Physical chemistry,1123,27574,19638.7,Yes
James Walker,1863,1935,United Kingdom,University of Dundee_University of Edinburgh,University of Edinburgh,Davy Medal,Chemistry,2447,18697,13822,No
John E. Walker,1941,NA,United Kingdom,University of Oxford_Laboratory of Molecular Biology_University of Cambridge,University of Oxford,Knight Bachelor,Chemistry,12923,93021,68991.6,Yes
Thomas Summers West,1927,2010,United Kingdom,Birmingham University Imperial College London Macaulay Institute Aberdeen,Aberdeen University,FRS_CBE_Maison de la Chimie Paris Honorary Member,NONE,1096,16727,12037.7,No
Peter Jaffrey Wheatley,1921,1997,United Kingdom,University of Oxford,University of Oxford,NONE,NONE,80,4180,2950,No
John Rex Whinfield,1901,1966,United Kingdom,Calico Printers Association,Gonville and Caius College_Cambridge,NONE,NONE,594,1907,1513.1,No
Thomas Willson,1860,1915,Canada,NONE,NONE,NONE,Chemistry,6652,254514,180155.4,No
Sabir Yunusov,1909,1995,Uzbekistan,Academy of Sciences of USSR,NONE,NONE,NONE,1,0,0.3,No
