Name,Born,Died,Nationality,Institutions,Alma mater,Notable awards,Fields,Total Count,Recursion,Score,Nobel Laureate
Wilhelm Ostwald,1853,1932,Germany,University of Dorpat_Riga Polytechnicum_University of Leipzig,University of Dorpat,NONE,Physical chemistry,3449,52275,37627.2,Yes
Johann Deisenhofer,1943,NA,Germany_United States,University of Texas Southwestern,Technical University of Munich_Max Planck Institute for Biochemistry,Max Delbruck Prize,Biophysics_Biochemistry,9550,120570,87264,Yes
Lawrence E. Glendenin,1918,2008,United States,Oak Ridge National Laboratory_Argonne National Laboratory,University of Chicago_MIT,Glenn T. Seaborg Award for Nuclear Chemistry,Chemistry,939,6181,4608.4,No
Charles Lee Reese,1862,1940,United States,The DuPont Company_Johns Hopkins University_The Citadel,The University of Virginia_Heidelberg University,NONE,Chemistry and Industrial Chemistry,4150,47761,34677.7,No
Chaim Weizmann,1874,1952,United Kingdom,University of Geneva_University of Manchester,Polytechnic Institute of Darmstadt_Technishe Hochschule Berlin_University id Fribourg,NONE,NONE,644,8983,6481.3,No
Mikhail Tsvet,1872,1919,Russia,Yuryev University,University of Karzan,NONE,Botany,1692,9212,6956,No
Neil Bartlett,1932,2008,United States,University of British Columbia_Princeton University_University of California Berkeley,University of Durham,Elliott Cresson Medal_Davy Medal,Chemistry,1667,19441,14108.8,No
Lars Onsager,1903,1976,Norway,ETH Zurich_Johns Hopkins University_Brown University_Yale University_University of Miami,Norwegian Institute of Technology,Lorentz Medal_Willard Gibbs Award_Peter Debye Award_National Medal of Science,Physical chemistry,26542,271245,197834.1,Yes
Victor Goldschmidt,1888,1947,Switzerland,University of Oslo,University of Oslo,Foreign Member of the Royal Society_Elliott Cresson Medal_Wollaston Medal,Geochemistry,4516,73363,52708.9,No
Heinrich Otto Wieland,1877,1957,Germany,Technical University of Munich_University of Freiburg_University of Munich,University of Munich,NONE,Chemistry,465,4625,3377,Yes
Elias James Corey,1928,NA,United States,Harvard University,MIT,ACS Award in Pure Chemistry_Chevreul Medal_Fritzsche Award_Intra-Science Foundation Award_Harrison Howe Award_Centenary Medal_Ciba Foundation Medal_Linus Pauling Award_Dickson Prize_George Ledlie Prize_Remsen Award_Arthur C. Cope Award_Buchman Memorial Award_Franklin Medal_Scientific Achievement Award Medal_J. G. Kirkwood Award_C. S. Hamilton Award_Chemical Pioneer Award_Lewis S. Rosenstiel Award_Paul Karrer Gold Medal _Tetrahedron Prize_Willard Gibbs Award_Paracelsus Award_Madison Marshall Award_V.D. Mattia Award_Wolf Prize in Chemistry_Silliman Award_Robert Robinson Medal_National Medal of Science_Japan Prize_Janot Medal,Organic chemistry,1898,39811,28437.1,Yes
Irving Langmuir,1881,1957,United States,Stevens Institute of Technology,Columbia University_University of Gottingen,John J. Carty Award_Faraday Medal_Willard Gibbs Award_Perkin Medal_Hughes Medal,Chemistry Physics,20863,145596,108176.1,Yes
Edward Adelbert Doisy,1893,1986,United States,Washington University in St. Louis_St. Louis University,Havard University_Harvard Medical School_University of Illinois at Urban-Champaign ,Willard Gibbs Award,Biochemistry,633,6244,4560.7,Yes
Jacques Monod,1910,1976,France,French Forces of the Interior,Sorbonne,NONE,Biology,14543,482063,341807,Yes
