Name, Year, WikiLink
Robert Havemann,1910, /wiki/Robert_Havemann
Walter Haworth,1883, /wiki/Walter_Haworth
Alan J. Heeger,1936, /wiki/Alan_J._Heeger
Dudley R. Herschbach,1932, /wiki/Dudley_R._Herschbach
Avram Hershko,1937, /wiki/Avram_Hershko
Gerhard Herzberg,1904, /wiki/Gerhard_Herzberg
George de Hevesy,1885, /wiki/George_de_Hevesy
Jaroslav Heyrovsk%C3%BD,1890, /wiki/Jaroslav_Heyrovsk%C3%BD
Cyril Norman Hinshelwood,1897, /wiki/Cyril_Norman_Hinshelwood
Dorothy Hodgkin,1910, /wiki/Dorothy_Hodgkin
Jacobus Henricus van %27t Hoff,1852, /wiki/Jacobus_Henricus_van_%27t_Hoff
Albert Hofmann,1906, /wiki/Albert_Hofmann
Darleane C. Hoffman,1926, /wiki/Darleane_C._Hoffman
Roald Hoffmann,1937, /wiki/Roald_Hoffmann
Frederick Gowland Hopkins,1861, /wiki/Frederick_Gowland_Hopkins
Heinrich Hubert Maria Josef Houben,1875, /wiki/Heinrich_Hubert_Maria_Josef_Houben
Robert Huber,1937, /wiki/Robert_Huber
Christopher Kelk Ingold,1893, /wiki/Christopher_Kelk_Ingold
Vladimir Ipatieff,1867, /wiki/Vladimir_Ipatieff
Paul Janssen,1926, /wiki/Paul_Janssen
Fr%C3%A9d%C3%A9ric Joliot-Curie,1900, /wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie
Ir%C3%A8ne Joliot-Curie,1897, /wiki/Ir%C3%A8ne_Joliot-Curie
Percy Lavon Julian,1899, /wiki/Percy_Lavon_Julian
Henri B. Kagan,1930, /wiki/Henri_B._Kagan
Jerome Karle,1918, /wiki/Jerome_Karle
Paul Karrer,1889, /wiki/Paul_Karrer
John Kendrew,1917, /wiki/John_Kendrew
Trevor Kletz,1922, /wiki/Trevor_Kletz
Aaron Klug,1926, /wiki/Aaron_Klug
Emil Knoevenagel,1865, /wiki/Emil_Knoevenagel
William Standish Knowles,1917, /wiki/William_Standish_Knowles
Walter Kohn,1923, /wiki/Walter_Kohn
Izaak Kolthoff,1894, /wiki/Izaak_Kolthoff
Roger D. Kornberg,1947, /wiki/Roger_D._Kornberg
Hans A. Krebs,1900, /wiki/Hans_A._Krebs
Harold Kroto,1939, /wiki/Harold_Kroto
Richard Kuhn,1900, /wiki/Richard_Kuhn
Irving Langmuir,1881, /wiki/Irving_Langmuir
Paul Lauterbur,1929, /wiki/Paul_Lauterbur
Yuan T. Lee,1936, /wiki/Yuan_T._Lee
Jean-Marie Lehn,1939, /wiki/Jean-Marie_Lehn
Luis Federico Leloir,1906, /wiki/Luis_Federico_Leloir
Raymond Lemieux,1920, /wiki/Raymond_Lemieux
Gilbert Newton Lewis,1875, /wiki/Gilbert_Newton_Lewis
Willard Libby,1908, /wiki/Willard_Libby
Karl Paul Link,1901, /wiki/Karl_Paul_Link
William Lipscomb,1919, /wiki/William_Lipscomb
Arthur H. Livermore,1915, /wiki/Arthur_H._Livermore
Martin Lowry,1874, /wiki/Martin_Lowry
Alan MacDiarmid,1927, /wiki/Alan_MacDiarmid
Carolina Henriette Mac Gillavry,1904, /wiki/Carolina_Henriette_Mac_Gillavry
Roderick MacKinnon,1956, /wiki/Roderick_MacKinnon
Rudolph A. Marcus,1923, /wiki/Rudolph_A._Marcus
Jacob A. Marinsky,1918, /wiki/Jacob_A._Marinsky
Tobin J. Marks,1944, /wiki/Tobin_J._Marks
Archer John Porter Martin,1910, /wiki/Archer_John_Porter_Martin
Elmer McCollum,1879, /wiki/Elmer_McCollum
Edwin McMillan,1907, /wiki/Edwin_McMillan
Lise Meitner,1878, /wiki/Lise_Meitner
Robert Bruce Merrifield,1921, /wiki/Robert_Bruce_Merrifield
Hartmut Michel,1948, /wiki/Hartmut_Michel
Huang Minglon,1889, /wiki/Huang_Minglon
Stanley Miller,1930, /wiki/Stanley_Miller
Luis E. Miramontes,1925, /wiki/Luis_E._Miramontes
Peter D. Mitchell,1920, /wiki/Peter_D._Mitchell
William A. Mitchell,1911, /wiki/William_A._Mitchell
Henri Moissan,1852, /wiki/Henri_Moissan
Mario J. Molina,1943, /wiki/Mario_J._Molina
Jacques Monod,1910, /wiki/Jacques_Monod
Jeffrey S. Moore (chemist),1961, /wiki/Jeffrey_S._Moore_(chemist)
Peter Moore (chemist),1939, /wiki/Peter_Moore_(chemist)
Stanford Moore,1913, /wiki/Stanford_Moore
Henry Gwyn Jeffreys Moseley,1887, /wiki/Henry_Gwyn_Jeffreys_Moseley
Robert S. Mulliken,1896, /wiki/Robert_S._Mulliken
Kary Mullis,1944, /wiki/Kary_Mullis
Earl Muetterties,1927, /wiki/Earl_Muetterties
Robert Nalbandyan,1937, /wiki/Robert_Nalbandyan
Giulio Natta,1903, /wiki/Giulio_Natta
Costin Nenitescu,1902, /wiki/Costin_Nenitescu
Walther Nernst,1864, /wiki/Walther_Nernst
Julius Nieuwland,1878, /wiki/Julius_Nieuwland
Ronald George Wreyford Norrish,1897, /wiki/Ronald_George_Wreyford_Norrish
John Howard Northrop,1891, /wiki/John_Howard_Northrop
Ry%C5%8Dji Noyori,1938, /wiki/Ry%C5%8Dji_Noyori
George Andrew Olah,1927, /wiki/George_Andrew_Olah
Fred Olsen,1891, /wiki/Fred_Olsen
Lars Onsager,1903, /wiki/Lars_Onsager
Tony Orchard,1941, /wiki/Tony_Orchard
Joan Or%C3%B3,1923, /wiki/Joan_Or%C3%B3
Wilhelm Ostwald,1853, /wiki/Wilhelm_Ostwald
Rudolph Pariser,1923, /wiki/Rudolph_Pariser
Robert G. Parr,1921, /wiki/Robert_G._Parr
Linus Pauling,1901, /wiki/Linus_Pauling
Charles J. Pedersen,1904, /wiki/Charles_J._Pedersen
"William Henry Perkin, Jr.",1860," /wiki/William_Henry_Perkin,_Jr."
Max Perutz,1914, /wiki/Max_Perutz
Eva Philbin,1914, /wiki/Eva_Philbin
David Andrew Phoenix,1966, /wiki/David_Andrew_Phoenix
Roy J. Plunkett,1910, /wiki/Roy_J._Plunkett
John Charles Polanyi,1929, /wiki/John_Charles_Polanyi
John Pople,1925, /wiki/John_Pople
George Porter,1920, /wiki/George_Porter
Fritz Pregl,1869, /wiki/Fritz_Pregl
Vladimir Prelog,1906, /wiki/Vladimir_Prelog
Ilya Prigogine,1917, /wiki/Ilya_Prigogine
Venkatraman Ramakrishnan,1952, /wiki/Venkatraman_Ramakrishnan
William Ramsay,1852, /wiki/William_Ramsay
Julius Rebek,1944, /wiki/Julius_Rebek
Charles Lee Reese,1862, /wiki/Charles_Lee_Reese
Tadeus Reichstein,1897, /wiki/Tadeus_Reichstein
Stuart A. Rice,1932, /wiki/Stuart_A._Rice
Theodore William Richards,1868, /wiki/Theodore_William_Richards
Robert Robinson (organic chemist),1886, /wiki/Robert_Robinson_(organic_chemist)
Hillar Rootare,1928, /wiki/Hillar_Rootare
Irwin Rose,1926, /wiki/Irwin_Rose
Frank Sherwood Rowland,1927, /wiki/Frank_Sherwood_Rowland
Ernest Rutherford,1871, /wiki/Ernest_Rutherford
Koichi Tanaka,1959, /wiki/Koichi_Tanaka
Henry Taube,1915, /wiki/Henry_Taube
Harold Warris Thompson,1908, /wiki/Harold_Warris_Thompson
J. J. Thomson,1856, /wiki/J._J._Thomson
Arne Tiselius,1902, /wiki/Arne_Tiselius
Max Tishler,1906, /wiki/Max_Tishler
Alexander R. Todd,1907, /wiki/Alexander_R._Todd
Roger Y. Tsien,1952, /wiki/Roger_Y._Tsien
Mikhail Tsvet,1872, /wiki/Mikhail_Tsvet
Georges Urbain,1872, /wiki/Georges_Urbain
Harold Clayton Urey,1893, /wiki/Harold_Clayton_Urey
Lauri Vaska,1925, /wiki/Lauri_Vaska
Vincent du Vigneaud,1901, /wiki/Vincent_du_Vigneaud
Artturi Ilmari Virtanen,1895, /wiki/Artturi_Ilmari_Virtanen
James Walker (chemist),1863, /wiki/James_Walker_(chemist)
John E. Walker,1941, /wiki/John_E._Walker
John Warner (chemist),1966, /wiki/John_Warner_(chemist)
Alfred Werner,1866, /wiki/Alfred_Werner
Thomas Summers West,1927, /wiki/Thomas_Summers_West
Peter Jaffrey Wheatley,1921, /wiki/Peter_Jaffrey_Wheatley
Chaim Weizmann,1874, /wiki/Chaim_Weizmann
George M. Whitesides,1939, /wiki/George_M._Whitesides
John Rex Whinfield,1901, /wiki/John_Rex_Whinfield
Heinrich Otto Wieland,1877, /wiki/Heinrich_Otto_Wieland
Sir Geoffrey Wilkinson,1921, /wiki/Sir_Geoffrey_Wilkinson
Thomas Willson,1860, /wiki/Thomas_Willson
Richard Willst%C3%A4tter,1872, /wiki/Richard_Willst%C3%A4tter
Adolf Otto Reinhold Windaus,1876, /wiki/Adolf_Otto_Reinhold_Windaus
Georg Wittig,1897, /wiki/Georg_Wittig
Robert Burns Woodward,1917, /wiki/Robert_Burns_Woodward
Kurt W%C3%BCthrich,1938, /wiki/Kurt_W%C3%BCthrich
Xiaoliang Sunney Xie,1962, /wiki/Xiaoliang_Sunney_Xie
Ada Yonath,1939, /wiki/Ada_Yonath
Sabir Yunusov,1909, /wiki/Sabir_Yunusov
