Name, Year, WikiLink
S%C3%A9rgio Ferreira, 1934, /wiki/S%C3%A9rgio_Ferreira
Harold John Finlay, 1901, /wiki/Harold_John_Finlay
James Fisher (naturalist), 1922, /wiki/James_Fisher_(naturalist)
Ronald Fisher, 1890, /wiki/Ronald_Fisher
Tim Flannery, 1956, /wiki/Tim_Flannery
Alexander Fleming, 1881, /wiki/Alexander_Fleming
Thomas Bainbrigge Fletcher, 1878, /wiki/Thomas_Bainbrigge_Fletcher
Howard Walter Florey, 1898, /wiki/Howard_Walter_Florey
Brian J. Ford, 1939, /wiki/Brian_J._Ford
E. B. Ford, 1901, /wiki/E._B._Ford
Peter Forster (geneticist), 1967, /wiki/Peter_Forster_(geneticist)
Dian Fossey, 1932, /wiki/Dian_Fossey
Rosalind Franklin, 1920, /wiki/Rosalind_Franklin
Karl von Frisch, 1886, /wiki/Karl_von_Frisch
Jos%C3%A9 Mar%C3%ADa de la Fuente Morales, 1855, /wiki/Jos%C3%A9_Mar%C3%ADa_de_la_Fuente_Morales
Louis Agassiz Fuertes, 1874, /wiki/Louis_Agassiz_Fuertes
Fran%C3%A7ois Gagnepain, 1866, /wiki/Fran%C3%A7ois_Gagnepain
Birut%C3%A9 Galdikas, 1946, /wiki/Birut%C3%A9_Galdikas
Robert Gallo, 1937, /wiki/Robert_Gallo
Howard Scott Gentry, 1903, /wiki/Howard_Scott_Gentry
Clelia Giacobini, 1931, /wiki/Clelia_Giacobini
C.H. Gimingham, 1923, /wiki/C.H._Gimingham
%C3%89mil Goeldi, 1859, /wiki/%C3%89mil_Goeldi
Jane Goodall, 1934, /wiki/Jane_Goodall
Stephen Jay Gould, 1941, /wiki/Stephen_Jay_Gould
Guillaume Grandidier, 1873, /wiki/Guillaume_Grandidier
Temple Grandin, 1947, /wiki/Temple_Grandin
Chapman Grant, 1887, /wiki/Chapman_Grant
Pierre-Paul Grass%C3%A9, 1895, /wiki/Pierre-Paul_Grass%C3%A9
William King Gregory, 1876, /wiki/William_King_Gregory
Edward Grey, 1st Viscount Grey of Fallodon, 1862, /wiki/Edward_Grey,_1st_Viscount_Grey_of_Fallodon
Frederick Griffith, 1879, /wiki/Frederick_Griffith
Jeremy Griffith, 1945, /wiki/Jeremy_Griffith
Pavel Gro%C5%A1elj, 1883, /wiki/Pavel_Gro%C5%A1elj
Allvar Gullstrand, 1862, /wiki/Allvar_Gullstrand
J. B. S. Haldane, 1892, /wiki/J._B._S._Haldane
William Donald Hamilton, 1936, /wiki/William_Donald_Hamilton
Alister Hardy, 1896, /wiki/Alister_Hardy
Denham Harman, 1916, /wiki/Denham_Harman
Maarten %27t Hart, 1944, /wiki/Maarten_%27t_Hart
Ernst Hartert, 1859, /wiki/Ernst_Hartert
Hans Hass, 1919, /wiki/Hans_Hass
Charles Hedley, 1862, /wiki/Charles_Hedley
