Name , Nationality , Institutions , Alma mater , Notable awards , Fields , Known for, Nobel Laureate,,,,,,,
Wilhelm_Ostwald , Baltic German by birth. Prussian, German (after 1871) , University of Dorpat&Riga Polytechnicum&University of Leipzig , University of Dorpat , Nobel Prize for Chemistry (1909) , Physical chemistry ,  , , , No ,,,,
Johann_Deisenhofer , Biophysics, Biochemistry , &&&Technical University of Munich&Max Planck Institute for Biochemistry[1]&&& , Robert Huber[1] , Website&www.utsouthwestern.edu/labs/deisenhofer , University of Texas Southwestern Medical Center[1] ,  , , , No ,,,,
Lawrence_E._Glendenin , American , Oak Ridge National Laboratory, Argonne National Laboratory , University of Chicago, Massachusetts Institute of Technology , Glenn T. Seaborg Award for Nuclear Chemistry (1974) , Chemistry (nuclear) ,  , , , No ,,,
Charles_Lee_Reese , American , The DuPont Company; Johns Hopkins University; The Citadel , The University of Virginia and Heidelberg University ,  , Chemistry and Industrial Chemistry ,  , , , No ,,,,,
Chaim_Weizmann , Israeli-British ,  ,  ,  ,  ,  , , , No ,,,,,
Mikhail_Tsvet , Russia ,  ,  ,  , Botany ,  , , , No ,,,,,
Neil_Bartlett_(chemist) , United Kingdom , University of British Columbia&Princeton University&University of California, Berkeley , Kings College, University of Durham (Newcastle University) , Elliott Cresson Medal (1968)&Davy Medal (2002) , Chemistry ,  , , , No ,,,
Lars_Onsager , Norway, U.S. , ETH Z\xc3\xbcrich&Johns Hopkins University&Brown University&Yale University&University of Miami , Norwegian Institute of Technology , Lorentz Medal (1958)&Willard Gibbs Award (1962)&Peter Debye Award (1965)&Nobel Prize in Chemistry (1968)&National Medal of Science (1968) , Physical chemist ,  , , , No ,,,,
Victor_Goldschmidt ,  , University of Oslo , University of Oslo , Foreign Member of the Royal Society&Elliott Cresson Medal (1903)&Wollaston Medal (1944) , Geochemistry ,  , , , No ,,,,,
Heinrich_Otto_Wieland , Germany , &Technical University of Munich 1913-21,&University of Freiburg 1921-25,&University of Munich 1925- , University of Munich , &&&Nobel Prize for Chemistry (1927)&&Otto Hahn Prize for Chemistry and Physics (1955)&&Fellow of the Royal Society[1]&&& , Chemistry ,  , , , No ,,,
Elias_James_Corey , United States , Harvard University , Massachusetts Institute of Technology , ACS Award in Pure Chemistry (1960)&Chevreul Medal (1964)&Fritzsche Award (1967)&Intra-Science Foundation Award (1967)&Harrison Howe Award (1970)&Centenary Medal (1971)&Ciba Foundation Medal (1972)&Linus Pauling Award (1973)&Dickson Prize (1973)&George Ledlie Prize (1973)&Remsen Award (1974)&Arthur C. Cope Award (1976)&Buchman Memorial Award (1978)&Franklin Medal (1978)&Scientific Achievement Award Medal (1979)&J. G. Kirkwood Award (1980)&C. S. Hamilton Award (1980)&Chemical Pioneer Award (1981)&Lewis S. Rosenstiel Award (1981)&Paul Karrer Gold Medal (1982)&Tetrahedron Prize (1983)&Willard Gibbs Award (1984)&Paracelsus Award (1984)&Madison Marshall Award (1985)&V.D. Mattia Award (1985)&Wolf Prize in Chemistry (1986)&Silliman Award (1986)&Robert Robinson Medal (1988)&National Medal of Science (1988)&Japan Prize (1989)&Janot Medal (1990)&Nobel Prize in Chemistry (1990)&Roger Adams Award (1993)&Priestley Medal (2004) , Organic chemistry ,  , , , Yes ,,,,,
Irving_Langmuir , American ,  , Columbia University&University of G\xc3\xb6ttingen , &&&John J. Carty Award (1950)&Faraday Medal (1944)&Franklin Medal (1934)&Nobel Prize in Chemistry (1932)&Willard Gibbs Award (1930)&Perkin Medal (1928)&Hughes Medal (1918)&ForMemRS[1]&&& , Chemistry Physics ,  , , , Yes ,,,,,
Edward_Adelbert_Doisy , United States , Washington University in St. Louis&St. Louis University ,  , Willard Gibbs Award (1941)&Nobel Prize in Physiology or Medicine (1943) , Biochemistry ,  , , , Yes ,,,,,
Jacques_Monod , French ,  ,  , Nobel Prize in Physiology or Medicine (1965) , Biology, Molecular biology ,  , , , Yes ,,,,
Rudolph_A._Marcus , American, Canadian , Polytechnic Institute of New York University, University of Illinois at Urbana-Champaign, Caltech , McGill University , Irving Langmuir Award (1978)&Peter Debye Award (1988)&National Medal of Science (1989)&Nobel Prize in Chemistry (1992) , Chemistry ,  , , , No ,,
Eva_Philbin ,  , &&&University College Dublin&Hygeia Limited&&& , University College Galway ,  , Chemistry ,  , , , No ,,,,,
Victor_Grignard , France , University of Nancy , University of Lyon , Nobel Prize for Chemistry (1912) , Organic chemistry ,  , , , Yes ,,,,,
Humphry_Bowen , British , Atomic Energy Research Establishment&University of Reading , Magdalen College, Oxford ,  , Analytical chemistry, botany, lichenology ,  , , , No ,,
Ada_Yonath , Israeli , Weizmann Institute of Science , Hebrew University of Jerusalem&Weizmann Institute of Science , Harvey Prize (2002)&Wolf Prize in Chemistry (2006)&LOr\xc3\xa9al-UNESCO Award for Women in Science (2008)&Albert Einstein World Award of Science (2008)&Nobel Prize in Chemistry (2009) , Crystallography ,  , , , Yes ,,,,,
Mario_J._Molina ,  , University of California, San Diego&University of California, Irvine&Jet Propulsion Laboratory&Massachusetts Institute of Technology , National Autonomous University of Mexico&Albert-Ludwigs-Universit\xc3\xa4t Freiburg&University of California, Berkeley , Tyler Prize for Environmental Achievement (1983)&Newcomb Cleveland Prize (1987)&NASA Exceptional Scientific Achievement Medal (1989),[1]&Nobel Prize in Chemistry (1995)&UN Environment Programme Sasakawa Environment Prize (1999)&The 9th Annual Heinz Award in the Environment (2003),[2]&The Volvo Environment Prize (2004).[3]&Presidential Medal of Freedom (2013)[4] , Chemistry ,  , , , No 
Theodor_Curtius , German , University of Heidelberg ,  ,  ,  ,  , , , No ,,,,,
Aaron_Ciechanover , Israeli ,  ,  , Nobel Prize in Chemistry (2004) , Biology ,  , , , Yes ,,,,,
Percy_Lavon_Julian , American ,  ,  ,  ,  ,  , , , No ,,,,,
Robert_Robinson_(organic_chemist) , English , University of Sydney&University of Liverpool&British Dyestuffs Corporation&University of Manchester&University of London&University of Oxford , University of Manchester , Davy Medal (1930)&Royal Medal (1932)&Copley Medal (1942)&Nobel Prize for Chemistry (1947)&Franklin Medal (1947)&Albert Medal (1947) , Organic chemistry[1] ,  , , , Yes ,,,,,
Jacobus_Henricus_van_%27t_Hoff , Dutch , Veterinary College in Utrecht&University of Amsterdam&University of Berlin , Delft University of Technology&University of Leiden&University of Bonn&University of Paris&University of Utrecht , Davy Medal (1893)&Nobel Prize for Chemistry (1901) , Physical chemistry&Organic chemistry ,  , , , Yes ,,,,,
Georg_Wittig , Germany , University of Marburg&TU Braunschweig&University of Freiburg&University of T\xc3\xbcbingen&University of Heidelberg , University of Marburg , Otto Hahn Prize for Chemistry and Physics (1967)&Paul Karrer Gold Medal (1972)&Nobel Prize in Chemistry (1979) , Chemistry ,  , , , Yes ,,,,,
Archer_John_Porter_Martin , English ,  , Peterhouse, Cambridge , Nobel Prize in Chemistry(1952)&John Price Wetherill Medal (1959) ,  ,  , , , No ,,,,
Martin_Chalfie ,  , Columbia University , Harvard University , E. B. Wilson Medal (2008)&Nobel Prize in Chemistry (2008)&Golden Goose Award (2012) , Neurobiology ,  , , , Yes ,,,,,
Peter_Agre , United States ,  , Augsburg College (B.A., 1970)&Johns Hopkins School of Medicine (M.D., 1974)&Case Western Reserve University , Nobel Prize in Chemistry (2003) Bloomberg Distinguished Professorships (2014) , Chemistry&Biochemistry ,  , , , No ,,,
Hans_A._Krebs , German , Kaiser Wilhelm Institute for Biology&University of Hamburg&Cambridge University&University of Sheffield&University of Oxford , University of G\xc3\xb6ttingen&University of Freiburg&University of Berlin&University of Hamburg , Nobel Prize in Physiology or Medicine (1953)&Royal Medal (1954)&Copley Medal (1961) , Internal medicine, biochemistry ,  , , , Yes ,,,,
Yuan_T._Lee , Japan (1936~1945), Taiwan (1945~), United States (1974~1994) , University of California, Berkeley&University of Chicago&Lawrence Berkeley National Laboratory&Academia Sinica (Taiwan) , National Taiwan University (B.Sc.)&National Tsing Hua University (M.S.)&University of California, Berkeley (Ph.D) , Nobel Prize in Chemistry (1986)&National Medal of Science (1986)&Peter Debye Award (1986)&Othmer Gold Medal (2008) , Chemistry ,  , , , No ,
Darleane_C._Hoffman , United States , University of California, Berkeley , Iowa State University ,  , Nuclear chemistry ,  , , , No ,,,,
Leo_Baekeland ,  ,  ,  ,  ,  ,  , , , No ,,,,,
George_de_Hevesy , Hungarian , Ghent University&University of Budapest&Niels Bohr Institute&ETH Z\xc3\xbcrich&University of Freiburg&University of Manchester&Stefan Meyer Institute for Subatomic Physics , University of Freiburg , Nobel Prize for Chemistry (1943)&Copley Medal (1949)&Atoms for Peace Award (1958)&Fellow of the Royal Society[1] , Chemistry ,  , , , Yes ,,,,,
Sidney_Altman , Canada & American (since 1984) ,  , MIT, University of Colorado at Boulder , Nobel Prize in Chemistry (1989) , Molecular biology ,  , , , No ,,,,
Roderick_MacKinnon , United States ,  , Brandeis University , Newcomb Cleveland Prize (1997)&Albert Lasker Award for Basic Medical Research (1999)&Perl-UNC Prize (2001)&Nobel Prize in Chemistry (2003)&Louisa Gross Horwitz Prize (2003) , Chemistry ,  , , , Yes ,,,,,
Georges_Urbain , French ,  ,  ,  ,  ,  , , , No ,,,,,
Ir%C3%A8ne_Joliot-Curie , French, of French and Polish descent ,  , Sorbonne , Nobel Prize for Chemistry (1935) , Chemistry ,  , , , No ,,,,
Rosalind_Franklin , British , British Coal Utilisation Research Association&Laboratoire Central des Services Chimiques de l\xc3\x89tat&Kings College, London&Birkbeck College, London , Newnham College, Cambridge ,  , Physical chemistry&X-ray crystallography ,  , , , No ,,
Max_Tishler , American ,  ,  ,  ,  ,  , , , No ,,,,,
John_Howard_Northrop , United States , University of California, Berkeley&Columbia University&Rockefeller University , Columbia University , Nobel Prize in Chemistry (1946)&Daniel Giraud Elliot Medal (1939) , Biochemistry ,  , , , No ,,,,
Irwin_Rose , United States , Fox Chase Cancer Center&University of Pennsylvania&University of California, Irvine&Yale University , University of Chicago , Nobel Prize in Chemistry (2004) , Biology ,  , , , No ,,,,
William_Ramsay , Scottish , University of Glasgow (1874-80)&University College, Bristol (1880\xe2\x80\x9387)&University College London (1887\xe2\x80\x931913) , University of Glasgow (1866-9)&Andersons Institution, Glasgow (1869)[1]&University of T\xc3\xbcbingen (PhD 1873) , Leconte Prize (1895)&Barnard Medal for Meritorious Service to Science (1895)&Davy Medal (1895)&Nobel Prize in Chemistry (1904)&Matteucci Medal (1907)&Elliott Cresson Medal (1913) , Chemistry ,  , , , No ,,,
Ronald_Breslow ,  , Columbia University , Harvard University , ACS Award in Pure Chemistry (1966)&National Medal of Science (1991)&Priestley Medal (1999)&Othmer Gold Medal (2006)&Perkin Medal (2010)&AIC Gold Medal(2014) , Chemistry ,  , , , No ,,,,,
Emil_Knoevenagel , German ,  ,  ,  ,  ,  , , , No ,,,,,
Ronald_George_Wreyford_Norrish , United Kingdom , Cambridge University , Cambridge University , Davy Medal (1958)&Nobel Prize in Chemistry (1967)&Fellow of the Royal Society[1] , Chemistry ,  , , , Yes ,,,,,
Roger_Y._Tsien , American , UC San Diego&UC Berkeley , Harvard University&University of Cambridge , Nobel Prize in Chemistry (2008)&Golden Goose Award (2012)&E. B. Wilson Medal (2008)&Rosenstiel Award (2006)&Wolf Prize in Medicine (2004)&Keio Medical Science Prize (2004)&Dr A.H. Heineken Prize (2002)&Artois-Baillet Latour Health Prize (1995)&Gairdner Foundation International Award (1995) , Biochemistry ,  , , , Yes ,,,,,
